Chinese,French
适合,combinaison
可以理解,compréhensible
核心,noyau
直言不讳,franc
合格的,qualifié
赌场,casino
嗥,hurler
饮食,diète
前兆,précurseur
律师,avocat
不真实,faux
委托,confier
拍,taper
垃圾,déchets
找,trouve
步行,foulée
棱镜,prisme
per,avertir
狠心,sans coeur
拖欠,arrérages
百合,lis
山羊,chèvre
银行,Banque
慷慨的,généreuse
衣领,collier
上瘾,intoxiqué
恢复,récupération
潜行,se faufiler
卷曲,frisé
步枪,fusil
胡须,barbe
灭绝,exterminateur
保释,caution
立体声,stéréo
差错,course
嵌合体,chimère
计算,calculer
添加,ajouter
可乐,du Coca
授权,autorisation
谜,énigme
否认,refuser
lack,irréfléchi
unf,injuste
星期日,dimanche
助手,assistant
审查员,examinateur
亵渎,impiété
imper,impertinent
较少,moins
冻结,Geler
不同的,différent
懂事,sensible
批评,critique
加热器,chauffe-eau
纪念馆,Mémorial
我的,ma
审慎,discrétion
单身的,Célibataire
prep,prépensé
三月,Mar
学院,la faculté
解开,disqualifier
困,somnolent
喷,vaporisateur
总统,Président
波纹,ondulation
狂热,frénésie
惩罚,châtiment
开锁,ouvrir
归档,dépôt
Cartrige,cartrier
值得注意的,remarquablement
ban,banal
沙龙,salon
貂,martre
倒带,rembobiner
牛奶,Le Lait
冷漠,apathie
胆量,entrailles
代码,code
向下,vers le bas
吠,aboyer
剂量,dosage
剪辑,tondeuse
共,tout à fait
放纵,indulgence
爸爸,père
筹款机,Levée de fonds
新人,nouveau marié
差异,divergence
拼写,épeler
哑的,stupide
amass.,amasser
下摆,ourlet
期间,pendant
相当,plutôt
打断,interrompre
无暇,immaculé
流行,fréquent
旁路,contourne
胸部,coffre
倡议,initiative
下午,après midi
之上,sur
白血病,leucémie
捏造,composé
开花,fleur
转移,décalage
避孕套,préservatif
电话亭,cabine téléphonique
雕塑,sculpture
腐烂,pourrir
墓地,cimetière
窃听,écœurant
温度计,thermomètre
繁荣,la prospérité
标志,signe
滴漏,Sablier
上将,amiral
挂,suspendu
母亲,mère
改变,modifier
栖息,perche
中尉,lieutenant
隆隆,gronder
甜甜圈,Donut
宪章,charte
青少年,adolescent
背包,sac à dos
行话,jargon
蒲公英,pissenlit
政策,politique
开发,exploit
机械,machinerie
虱,pou
有效的,efficace
干,tige
大麻,marijuana
infl,infliger
十七,dix-sept
更正,correction
有礼貌的,poli
洋谷,alcôve
帮助,aider
支付,Payer
传达,transmettre
鼠,rat
最佳,Haut
版,édition
金属丝,câble
轨,rail
欢乐,joyeux
奇迹,miracle
治理,gouverne
森林,forêt
虾,crevette
很好,bien
阳伞,parasol
阿拉伯,arabe
烧伤,brûler
星系,galaxie
毕业,l'obtention du diplôme
fl,affleurer
斑点,grain
锻造,forger
地图,carte
耳环,boucle d'oreille
蛾,papillon
煎蛋卷,omelette
害羞的,timide
交流,communiquer
总统,présidentiel
imm,immodéré
实验,expérience
挤,presser
a,ablatif
破坏,naufrage
无私,désintéressé
钝,cru
不便,inconvénient
七月,juillet
分析,analyser
镰刀,faucille
失明,cécité
口号,slogan
注意,conscient
外部的,externe
逃离,va-t-en
病痛,maladie
足智多谋,ingénieux
反应,réaction
懒惰的,paresseux
可信,fidèle
谜,puzzle
和,avec
加冕,couronnement
议会,parlement
最终,finalement
盛产,abonder
陷入困境,piégé
r,rant
容纳,accommoder
wh,aiguiser
赌博,jeux d'argent
清楚的,distinct
耙,râteau
平价,parité
玫瑰,Rose
怀孕,grossesse
出租车,taxi
草本植物,herbe
表面,surface
短暂的,transitoire
背诵,réciter
思考,réflechir
蜂窝,cellulaire
涂料,drogue
修指甲,manucure
遗产,héritage
电气,électrique
疏忽,négligent
雷克,puanteur
叙述,récit
欠,devoir
菌,champignon
精彩的,formidable
黑暗的,foncé
双子座,Gémeaux
厨房,cuisine
不知何故,en quelque sorte
大量,considérable
倡导,plaidoyer
母鸡,poule
之中,parmi
恶心,nauséeux
疼痛,la douleur
拖把,serpillière
大车,Chariot
按说,ordinairement
脚蹼,palmiers
喜剧演员,comédien
计算,calcul
无能为力,inepte
铂,platine
踏,embarquer
生长,croissance
蝇头,minuscule
妥协,faire des compromis
堆,empiler
赐给,donner
大都会,métropolitain
实验,expérimental
成就,accomplissement
拼命地,désespérément
文件夹,dossier
岛,île
汗,en sueur
煤炭,charbon
复仇,vengeance
合页,charnière
注射器,seringue
提取,se désister
熟食,épicerie fine
高架,aérien
配合,assortir
不起图,imprudence
游戏,Jeu
存在,exister
王,roi
奇特,particulier
代理,Procuration
自己,soi-même
好,bien
流行病,épidémie
致命,mortel
熟,cuit
错过,Mademoiselle
工程师,ingénieur
隐喻,métaphore
细胞,cellule
建造,construit
征服,vaincre
追忆,se rappeler
无数,innombrable
尺寸,dimension
军士,sergent
微笑,le sourire
卓有成效,fructueux
障碍,obstacle
印迹,imprimer
草案,Brouillon
不道德,immoral
密码,le mot de passe
受害者,victime
bl,bleuâtre
半圆,demi-cercle
再次,de nouveau
陶瓷制品,céramique
安抚,apaiser
设备,équipement
小路,chemin
沙拉,salade
边缘,la frange
紧握,saisir
悔恨,remords
编织,tisser
美发师,coiffeur
创业欲望,stratagème
反抗,la résistance
相当,assez
对待,traiter
有机的,biologique
听众,auditeur
意图,intention
同时,pendant ce temps
屏幕,filtrer
颠覆,renverser
中止,avorter
衣帽间,vestiaire
羊肉,agneau
翻新,rénover
迁徙,migrant
最年轻的,plus jeune
不管,indépendamment
适合,intermittent
灾害,calamité
传染性,se déformer
独奏,solo
新,nouvellement
姿势,posture
种族,course
过量,overdose
药水,potion
队长,capitaine
不动产,immeuble
落魄,abjection
插科打诨,gag
生物,créature
血液,du sang
应用,application
绿洲,oasis
车道,voie
秘密,secret
流利,courant
联合抵制,boycotter
bl,bonheur
操作,opérationnel
一代,génération
可疑,douteux
民意调查,enquête
生活,vie
同情,la sympathie
幽默,humour
歪略,pervers
拉紧,s'étirer
文书工作,formalités administratives
憔悴,languir
激怒,exaspérer
姨妈,tante
酸,acide
终端,Terminal
口吃,bégayer
直立,ériger
群,troupeau
睿,hypermétrope
空闲的,de rechange
执法,mise en vigueur
凤尾鱼,anchois
童贞,virginité
等待,attendre
插入,insérer
监视,surveillance
钻头,percer
hal,réduire de moitié
暗杀,assassinat
缝纫,couture
漂浮的,flottant
掩体,bunker
天堂,paradis
局,bureau
好的,bon
彩虹,arc-en-ciel
除非,sauf si
清醒,sobre
分散,disperser
敬畏,admiration
压缩,compresse
改编,réarranger
有趣,intrigant
战士,guerrier
不可思议,inconcevable
神童,prodige
评论家,critique
含酒精,alcoolique
葡萄,raisin
影响,affecter
女佣,Femme de ménage
凝结,coagulé
污点,tache
反射,réflexe
预料,anticiper
技术的,technique
推力,poussée
焦虑,anxiété
胆量,intestin
对不起,Pardon
令牌,jeton
参考,référer
拒绝,rejet
观点,point de vue
评论,remarque
通奸,adultère
谱系,pedigree
诅咒,circonvenir
准备,préparer
托,nichée
熬,ébullition
蚌,moule
借口,excuse
安静的,calmer
煤烟,suie
依赖,dépendant
淫荡,lascif
电,électricité
基础,base
衰变,carie
滑,glisser
走,aller
手术,opération
僵硬的,rigide
成人,adulte
漂白,eau de Javel
美好的,amende
收缩,contraction
禁止,interdiction
徽,emblème
可测量,notabilité
欺负,intimidateur
表演,exécutant
到期,maturité
果然,infructueux
sm,frapper
拒绝,refuser
督,surveiller
毛虫,chenille
纠正,rectifier
辉光,lueur
花岗岩,granit
突破,percée
Limbo.,limbo
呛,étouffer
过夜,pendant la nuit
不定,indéfini
舒适,confort
工资,salaire
总的,brut
fl,feuilleter
发芽,germer
爬行,sinistre
娱乐,amuser
递送,livrer
湾,la baie
庞,serrement
流动,écoulement
随意的,arbitraire
信仰,Foi
贵族,aristocratie
赚钱,encombrer
限制,restriction
偏离,dévier
遭受,souffrir
巧,coïncident
选择,sélection
怀疑,incrédulité
浅,superficiel
误传,mal calculer
积极的,actif
罂粟,coquelicot
社会,société
亲密的,intime
不公正,injustice
c,isolé
摇,vaciller
尊严,dignité
拴住,attelage
薄的,mince
异国,exotique
胡同,ruelle
架子,étagère
砰,claquer
辛辣,âcre
专注,concentré
灵魂,âme
废料,abandonner
传染性,contagion
冰箱,réfrigérateur
义,sournois
巫师,sorcier
调整,ajustement
月桂树,laurier
动物学,zoologie
弦,accord
磨损,porté
后部,arrière
惯例,habituer
奖,prix
最终,finalement
战略,stratégie
壁橱,toilettes
火腿,jambon
询问,demande
涌入,afflux
坡,pente
高的,haute
色调,teinte
是,étaient
证明,démontrer
片刻,moment
可爱,sympathique
加入,rejoindre
震荡,commotion cérébrale
绿色,vert
覆盖,couvrant
摇摇欲坠,secoué
改写,récrire
再生,Renaissance
采石场,carrière
设计,conception
绝对地,Tout à fait
提交,soumission
坚持,persister
忧虑,préoccuper
签名,un autographe
隔离,quarantaine
宿醉,gueule de bois
亵渎,blasphémer
攀登,escalade
华丽的,magnifique
驾驶,conduite
刺激,ravir
公里,kilomètre
追随者,disciple
容量,capacité
烧伤,brûlé
不友好,hostile
无所不在,omniprésent
守门员,gardien
周长,périmètre
全世界,à l'échelle mondiale
岭,crête
工作,travail
自以为是,dogmatique
异常,anormal
千年,zillion
礼炮,saluer
解冻,dégivrer
对话,dialogue
合作,coopérer
锯,vu
村庄,Hamlet
壁架,rebord
迷人,glamour
减少,talon
胶带,ruban
变暖,échauffement
颓废,décadence
巨大的,énorme
巧妙,habilement
巨大的,prodigieux
晒,se prélasser
疾病,maladie
套索,nœud coulant
洗牌,mélanger
连接的,connecté
标点,ponctuation
橄榄球,le rugby
为了,pour
保障,sauvegarde
分享,partager
禁止,interdire
咄咄逼人,arrogant
经济的,économique
教区,paroisse
剃刀,le rasoir
积累,accumuler
并驾齐驱,froneux
相对的,relatif
蜡,la cire
缺陷,rendre illisible
腹股沟,aine
突然,soudainement
创新,innovation
小说,roman
濒临灭绝,en voie de disparition
可恶,odieux
回响,retentir
渔夫,pêcheur
sexual,sexuel
什么,Quel
减少,diminuer
有效的,efficace
枝条,brindille
跳蚤,Puce
阀门,soupape
绘画,La peinture
冰淇淋,crème glacée
voc,vocal
地球,globe
萎缩,se ratatiner
记者,journaliste
绝缘,isolation
松紧带,élastique
妖艳,flirt
前书,antécédent
不忠,infidèle
神,divinité
文化,culture
目击者,témoin oculaire
pur,ronronner
遥远,loin
理论,théorie
珠子,perle
普莱尼里,placide
尴尬,embarrasser
有说服力的,persuasif
酸痛,douloureux
跑步,fonctionnement
第一手,de première main
雷区,champ de mines
tw,tordre
贷款,prêter
泪水,des larmes
满意,contentement
消失,disparition
狭窄的,étroit
使能够,permettre
谴责,dénonciation
很遗憾,Malheureusement
吱,grincer
赔偿,compensation
草本,à base de plantes
伍迪,boisé
完整,intact
参加,participer
推动,irrésistible
咨询,conseils
诡计,tour
不可预测的,imprévisible
鹘,faucon
新教,protestant
肮脏,sordide
漂亮,joli
弄皱,froisser
哭,cri
女孩,fille
火热,ardent
苦恼,détresse
青铜,bronze
载体,transporteur
matt,mat
软化,adoucir
跑道,piste
松动的,lâche
别的,autre
倒刺,petite peau
介绍,introduction
文凭,diplôme
稀饭,bouillie
覆盖范围,couverture
赃物,butin
俄语,russe
地平线,horizon
污秽,saleté
当地,locum
中立,neutralité
宿舍,dortoir
票房,box-office
fr,fouiller
歪斜,de travers
满意,la satisfaction
平凡,banal
笨重,lourd
营销,commercialisation
逗,taquiner
军械库,arsenal
背心,gilet
属于,appartenir
实际上,réellement
尖叫,pousser un cri
皱眉头,mine renfrognée
难的,dur
少年,juvénile
雪茄,cigare
富裕,riche
圆形,rond
最狂野的,le plus sauvage
电池,batterie
任务,mission
离这很远,loin
爆发,éruption
参考,référence
活泼,vivacité
第八,huitième
三合一,triade
经济学,économie
还,aussi
犀牛,rhinocéros
美人鱼,Sirène
捻,tournoiement
打火机,briquet
回报,remboursement
铺设,pose
死板的,rigide
唤醒,se réveiller
云雀,alouette
下水道,égout
轻巧,désinvolte
束,groupe
午夜,minuit
消失,disparaître
争论,argument
扒手,pickpocket
拍击,gifler
轻擦,pâturer
保姆,nounou
紧张,tension
破坏,saper
不像,contrairement à
奶奶,mamie
部分的,partiel
职业,carrière
敏捷,agile
参加,participation
损害,détriment
当地,localement
合适的,approprié
尽管如此,néanmoins
st,rigide
红衣主教,cardinal
证据,preuve
页,page
拖船,remorqueur
公爵,Duc
b,dommage
she,virer
球衣,Jersey
帮助,assistance
饥荒,famine
温和的,doux
明亮的,brillant
男孩,garçon
暴民,foule
超速,excès de vitesse
建议,Conseil
偷,voler
直接地,directement
膨化,renflé
伤员,blessés
瘾君子,toxicomane
郊外,faubourgs
富裕,richesse
福利,bien-être
话语,discours
军队,militaire
希腊语,grec
自豪的,fier
照亮,éclairer
远的,loin
尤其,surtout
洪水,inondation
层,couche
迎面,approche
烈士,martyr
大,plus gros
挂号的,inscrit
姓名,Nom
队,équipe
生姜,Gingembre
伪证,parjure
无高兴,nonchalance
纠正,redresser
有力,énergique
瘫痪,estropié
黑貂,zibeline
加入,accéder
失败,échouer
垃圾,déchet
自动的,automatique
涂抹,barbouiller
英勇,galant
最好的,meilleur
退出,quitter
活动,activité
岬,cap
触碰,toucher
逼迫,feux de la rampe
狡猾,rusé
寒冷的,froid
臭名昭著,célèbre
小袋,poche
周围,ambiant
毒,poison
健身房,gymnase
半身像,bousiller
废除,abolir
萃取,extraction
弯头,coude
住所,domicile
一月,janvier
围裙,tablier
qu,sévère
友谊,Amitié
共存,coexister
桥,pont
怀疑,doute
天花板,plafond
失望,déception
萝卜,carotte
相关,pertinent
撬,prière
最富裕的,riche
创建,créer
经验,vivre
输入,saisir
减缓,lent
毁了,ruiné
鳟鱼,truite
传统的,conventionnel
每当,n'importe quand
未完成,inachevé
微光,lueur
罐装,en conserve
错觉,illusion
财产,biens
拿,prendre
重新思考,repenser
贪,avidité
寒冷,froideur
gr,faire un grief
ab,aback
宣称,professer
保证,assurer
无意义的,sans signification
保密,secret
男人,homme
c,signal
老化,vieillissement
cr,avoir très envie de
无力,impuissant
离开,désactivé
淹没,submerger
扫盲,l'alphabétisation
万,blême
隧道,tunnel
七十,soixante-dix
因素,facteur
九十,quatre-vingt-dix
命运,sort
鞭打,fouetté
烤箱,four
管家,gouvernante
改造,altération
授予,accorder
麋鹿,wapiti
拥抱,étreinte
白杨,peuplier
破旧,minable
和平,paix
难以辨认,illisible
领带,attacher
操作,fonctionner
雪人,bonhomme de neige
仪器,appareil
亲属,proche
ch,tronçon
感染,infection
奇怪,bizarrement
完全相同的,identique
时尚,vogue
伤员,victime
令人不安,inquiétant
退出,Retrait
掠夺,pillage
芦苇,roseau
边界,frontière
奉献,consacrer
警卫,gardien
橡木,chêne
过失杀人,homicide involontaire
解释,interpréter
无家可归,sans abri
发现,Découverte
无花果,figure
闪耀,éclat
闰年,année bissextile
科学家,scientifique
overs,surveillance
不溶于,insoluble
大厅,foule
告诉,Raconté
水晶,cristal
工资单,paie
龙,dragon
脆弱,frêle
st,arrière
招待员,huissier
破折号,fringant
水平的,horizontal
碗,bol
偶然,occasionnel
意大利人,italien
膝盖,le genou
管家,intendant
解开,délier
预算,budget
可能,Peut
瑞典人,Suédois
中间,milieu
奇怪的,bizarre
瘙痒,démangeaison
顾问,consultant
sp,éperon
当然,Bien sur
童话,Conte de fée
十三,treize
开胃,appétissant
前言,préface
年,année
花园,jardin
阵风,rafale
螃蟹,Crabe
舱室,compartiment
纯的,pur
丑陋的,moche
犹豫,hésitation
测试,test
纹身,tatouage
岩石,Roche
字体,Police de caractère
断开,déconnecter
引力,gravitation
破坏性,dommageable
游行,procession
WHO,qui
举起,ascenseur
保持,rester
改期,reprogrammer
丁香,Clou de girofle
传,Biographie
协会,association
下垂,affaissement
不足,insuffisance
票价,tarif
厌恶,dégoût
cr,grincheux
捷豹,jaguar
心地为,au cœur
交融,mêler
义务,nominal
花圈,couronne
上市,énumérés
板,planche
海豚,dauphin
教授,professeur
相反,contraire
歉意,excuses
过错,la faute
象征,symbole
忧虑,des soucis
骗子,escroc
小马,poulain
没门,certainement pas
边界,frontière
整理车,informateur
贡,hommage
无论如何,de toute façon
阐明,illustrer
滴,gouttes
关闭,proche
酒窝,fossette
之后,après
集中,concentrer
建造,construction
发展,développement
扣除,déduire
机智,esprit
总体,globalement
好奇心,curiosité
粪,bête
柠檬汽水,limonade
薄荷,menthe
肇事者,auteur
黄道带,zodiaque
姓名,homonyme
扰乱,perturber
坚决,résolu
荒芜,déserté
咬,mordre
能够,pouvez
加剧,aggraver
报纸,un journal
轻快,rapide
灾难,catastrophe
殄,exterminer
重启,réinitialiser
包,sac
危急,critique
抵达,atteindre
使固定,réparer
奇异,bizarre
规模,escalader
打印机,imprimante
迷人,captiver
扣材,fermoir
奢华,somptueux
past,pastel
用户,utilisateur
soon,plus tôt
icily.,de façon glaciale
美德,vertu
即将到来,à venir
comp,animateur
天才,génie
泊位,couchette
微笑,souriant
must,de moisi
罗河,vagabonder
堆,tas
涉及,rapporter
自由职业者,free-lance
致命,mortel
伤害,morbide
修剪,garniture
地面,sol
画报,pictural
厕所,toilette
假装,feindre
极好的,fantastique
啃,ronger
沙丘,dune
飞涨,Zoom
划破,lacérer
开始,commencer
白内障,cataracte
海洛因,héroïne
摄影,la photographie
麻醉品,narcotique
b,autoritaire
值得,valeur
倾斜,maigre
岩,escarpé
动机,motivation
碎,écrasé
洒,répandre
虚幻,irréel
柔弱,efféminé
enr,ravir
剪,tondre
痛苦,affliction
舒适,faciliter
读,en train de lire
牢牢,fermement
月光,clair de lune
公主,Princesse
拳击手,boxeur
获得,acquisition
病人,patient
披肩,châle
目标,cible
据说,soi-disant
平台,Plate-forme
鲤鱼,carpe
巢穴,repaire
种子,la graine
机会,chance
萨克斯管,saxophone
增值税,T.V.A
有趣,amusant
庄严,solennel
el,elfe
注定,condamné
授权,autorisé
水蛭,sangsue
马不停蹄,sans arrêt
准备好,prêt
adroit.,adroit
持续的,constant
懊恼,dépit
鱼,poisson
司机,conducteur
现金,espèces
橡子,gland
涌,à ressort
详细的,détaillé
转移,distraire
店铺,magasin
所有的目的,tout usage
排泄,excréter
联合的,uni
偶然,accidentellement
电梯,ascenseur
影响,influence
谁,quiconque
笨蛋,mutiné
防御,la défense
长椅,canapé
垃圾食品,malbouffe
额外的,Additionnel
荨麻,ortie
看护人,perspicace
淋浴,douche
钉,clouer
驴,âne
除了,sauf
suck,sucer
注定,destiné
微波,four micro onde
炉,foyer
传播,transmission
注重,souligner
我们,nous
杰出,éminent
革命,révolutionnaire
欺诈,frauduleux
公司,entreprise
说出,dire
不值得的,indigne
很多的,nombreux
窒息,étouffer
争吵,combattu
or,orbe
英俊的,Beau
相对,contre
刷新,rafraîchissant
有时,parfois
喃喃自语,murmurer
暴徒,voyou
sex,sexuellement
开裂,fissure
收集,rassembler
魔术师,magicien
猪,porc
行动,action
br,brute
汤,soupe
公证人,notaire
在旁边,de côté
哪一个,lequel
火焰,flammes
ob,inflexible
睫毛膏,mascara
文档,document
蓬勃,vigoureux
大胆,audacieux
惹,provoquer
喊,crier
告密者,mouchard
离开,partir
已婚,marié
印象,impression
测量,jauge
非常,immensément
翻动,flanquer
嘲笑,moquer
坚定的,engagé
住宅,résidence
Inopportune.,inopportun
酒店,Hôtel
花费,dépenser
裸,nu
透明度,lucent
休战,trêve
逾期,en retard
杀人,homicide
小丑,pitre
根据,selon
致命的,fatal
女性,féminin
办公室,Bureau
飞机,avion
可以想象,concevable
假,faux
受贿,corruption
一块,un morceau
叫喊,hurler
磁铁,aimant
读,lire
根据,base
真诚,sincère
然而,toutefois
音乐家,musicien
职员,Personnel
爷爷,pépé
放牧,troupeau
复印件,photocopie
磁的,magnétique
疾病,maladie
接触,contact
谨慎,prudent
收缩,Serrer
保镖,garde du corps
恐怖主义,terrorisme
腥,de poisson
西北,Nord Ouest
创伤,traumatisme
训斥,réprimander
工程,ingénierie
努力,effort
推迟,reporter
细节,détail
合法的,légalement
承认,concéder
再次,plus
相似,équanimité
图表,graphique
叽叽喳喳,gazouiller
魔鬼,diable
公牛,taureau
不变,invariable
女婿,beau fils
同情,la compassion
野蛮,brutal
愿意,volonté
电话,téléphone
喉,gorge
错位,égarer
维持,maintenir
诽谤,calomnie
习俗,convention
大学,Université
哼声,renifler
分散注意力,distrayant
队列,file d'attente
理论上,théorique
幼稚的,naïve
瘢痕,cicatrice
自由,libre
人员,personnel
暴力,violent
迷失方向,désorienté
精美的,exquis
绞刑,suspendu
弯曲,pliant
土豆,pommes de terre
臭,puer
舒适,confortable
清除,purge
操纵,manipuler
会计,comptable
蔑视,contemporain
临时,intérimaire
情欲,luxure
加,plus
主要是,principalement
代词,pronom
形影不离,inséparable
直截了当,directe
一对,paire
生物,organisme
数字的,numérique
门口,porte
电子书,livre électronique
持续,continu
爷爷,grand-père
世界,monde
瞌睡,sommeiller
添加,une addition
闪闪发光,lueur
支持,justificatif
抱怨,plainte
习惯,habitué
桶,fût
冷却器,glacière
合适的,agréable
大猩猩,gorille
阁楼,grenier
自助餐厅,cafétéria
退缩,reculer
吸引,attirer
侧翼,flanc
反正,De toute façon
赌注,ante
慌张,rafale
在,au
重新,un nouveau
货物,cargaison
预期,anticipation
原因,raison
方便,commodité
陌生人,étranger
哟,japper
轮廓,profil
粒子,particule
习惯性的,habituel
man,viril
发抖,tremblant
巧克力,Chocolat
损失,perte
放弃,abandonner
正式的,formel
收成,récolte
片,tranche
运输,expédition
贬损,dénigrer
效率低下,inefficace
人性,humanité
君士平,caprimer
可可,cacao
明智,sagace
记起,rappeler
斩首,décapiter
善意,goûter
雄伟,majestueux
跳,sauter
成年人,adulte
他们,elles ou ils
伪装,camouflage
护身符,amulette
无聊,sans froissement
家长,gouvernante
毫无价值,sans valeur
询问,demander
垂直,sonder
加热,chauffage
定居,régler
敏锐的,enthousiaste
移动的,mobile
安慰,consolation
泽,pompe
经,chaîne
便宜的,pas cher
现在,maintenant
挖掘,creusement
潜水员,plongeur
监狱,prison
塞克,renverser
胡子,moustache
永动的,perpétuel
蚂蚁,fourmi
警报,alerte
专利,brevet
小的,peu
骂,gronder
画廊,Galerie
唾液,salive
盾,protéger
欢乐,gaieté
小说,fiction
令人兴奋的,passionnant
和解,réconciliation
假设,présumer
馅,Rembourrage
持久,persévérer
领土,territoire
尤其,notamment
可靠的,fiable
烟,fumée
每年,annuel
开创,inaugurer
执行,exécuter
插曲,épisode
洋葱,oignon
祝福,vœux
母亲,maternel
路,route
帽子,chapeau
公共汽车,autobus
组织,organisation
嘶,sifflement
密闭,hermétique
庄园,manoir
pe,pair
alibi,alibi
受伤,blessure
拨号,cadran
摩擦,irriter
恶梦,cauchemar
沟渠,fossé
桨,rame
奥运会,Jeux olympiques
孙子,petit enfant
借,prêté
分钟,minute
路边,bord de la route
意外,inattendu
休息,repos
恳求,implorer
最喜欢的,favori
无比,sans égal
笔记,Remarque
主要的,premier
呼吸,souffle
扼杀,étrangler
胸饰,pectoral
长椅,banc
创伤,traumatique
爵士乐,le jazz
沙沙,bruissement
水疱,cloque
亮相,début
沮丧,abattement
骚扰,harcèlement
夹具,fixation
卵石,Galet
卖方,vendeur
预告片,bande annonce
痴人心,idiot
信,lettre
仍然,toujours
财,fiscal
技术,technique
圣诞节,Noël
蛊惑,ensorceler
黑色的,le noir
移民局,immigration
社会的,social
证明合法,justifier
多云的,nuageux
插座,prise
潜水,se plonger
修补,pièce
jubilee,jubilé
生存,subsister
法庭,rechercher
纬,trame
周到,prévenant
面部的,facial
更远,plus loin
高度,altesse
碰撞,collision
m,jument
听,Ecoutez
闪电,éclair
想必,probablement
联邦,confédéré
药物,des médicaments
灌木,arbuste
sn,accroc
超过,plus de
误导,tromper
遇到,rencontrer
小地毯,tapis
不规律的,irrégulier
合身,ajuster
汤,décoction
自由,liberté
关税,tarif
好奇的,curieuse
题为,intitulé
实际的,réel
值得信赖,fiable
来源,provenance
描述为,descriptif
肠,intestin
夺取,ravir
被定罪,condamné
没有,rien
力量,Obliger
手,main
应得,mériter
图片,image
犹太人,les Juifs
mind,maître
