English,French,Chinese,Pingying,Spanish,German
mean,moyenne,意思,yì sī,significar,bedeuten
play,jouer,玩,wán,juego,abspielen
hate,détester,恨,hèn,odio,hassen
ago,depuis,前,qián,atrás,vor
beautiful,beau,美丽的,měi lì de,hermosa,wunderschönen
fact,fait,事实,shì shí,hecho,tatsache
crazy,fou,疯狂的,fēng kuáng de,loco,verrückt
party,fête,派对,pài duì,partido,party
sit,asseoir,坐,zuo,sentarse,sitzen
open,ouvert,打开,dǎ kāi,abierto,offen
afraid,peur,害怕,hài pà,temeroso,besorgt
between,entre,之间,zhī jiān,entre,zwischen
important,important,重要的,zhòng yào de,importante,wichtig
rest,du repos,休息,xiū xī,descansar,sich ausruhen
fun,amusant,乐趣,yuè qù,divertida,spaß
kid,enfant,孩子,hái zǐ,niño,kind
glad,content de,高兴的,gāo xīng de,contento,froh
everyone,toutes les personnes,每个人,měi gè rén,todo el mundo,jedermann
day,journée,日,rì,día,tag
sister,sœur,姐姐,jiě jiě,hermana,schwester
minute,minute,分钟,fēn zhōng,minuto,minute
everybody,tout le monde,大家,dà jiā,todos,alle
bit,bit,少量,shǎo liàng,poco,bit
couple,coupler,夫妻,fū qī,pareja,paar
either,soit,任何一个,rèn hé yī gè,cualquiera,entweder
daughter,la fille,女儿,nǚ ér,hija,tochter
under,sous,在下面,zài xià miàn,debajo,unter
break,pause,休息,xiū xī,rotura,brechen
door,porte,门,mén,puerta,tür
set,ensemble,放,fàng,colocar,einstellen
close,proche,关闭,guān bì,cerrar,nah dran
easy,facile,简单,jiǎn dān,fácil,einfach
doctor,médecin,医生,yì shēng,doctor,arzt
far,loin,远的,yuǎn de,lejos,weit
walk,marche,走,zǒu,andar,spaziergang
need,avoir besoin,需要,xū yào,necesitar,brauchen
trouble,difficulté,麻烦,má fán,problema,problem
mine,mien,矿,kuàng,mía,bergwerk
though,bien que,尽管,jǐn guǎn,aunque,obwohl
time,temps,时间,shí jiān,tiempo,zeit
different,différent,不同的,bù tóng de,diferente,unterschiedlich
hospital,hôpital,医院,yì yuàn,hospital,krankenhaus
anybody,n'importe qui,任何人,rèn hé rén,cualquiera,irgendjemand
alright,bien,好吧,hǎo ba,bien,in ordung
wedding,mariage,婚礼,hūn lǐ,boda,hochzeit
shut,fermer,关闭,guān bì,cerrar,geschlossen
able,capable,有能力的,yǒu néng lì de,capaz,imstande
die,mourir,死,sǐ,morir,sterben
perfect,parfait,完美的,wán měi de,perfecto,perfekt
police,police,警察,jǐng chá,policía,polizei
stand,supporter,站立,zhàn lì,pararse,stand
hit,frappé,打,dǎ,pegar,schlag
story,histoire,故事,gù shì,historia,geschichte
dinner,dîner,晚餐,wǎn cān,cena,abendessen
against,contre,反对,fǎn duì,contra,gegen
funny,drôle,有趣的,yǒu qù de,gracioso,komisch
husband,mari,丈夫,zhàng fū,marido,ehemann
almost,presque,几乎,jī hū,casi,schon fast
stupid,stupide,愚蠢的,yú chǔn de,estúpido,dumm
pay,payer,支付,zhī fù,pagar,zahlen
answer,réponse,回答,huí dá,respuesta,antworten
four,quatre,四,sì,cuatro,vier
office,bureau,办公室,bàn gōng shì,oficina,büro
cool,frais,凉爽的,liáng shuǎng de,frio,kühl
news,nouvelles,消息,xiāo xī,noticias,nachrichten
child,enfant,孩子,hái zǐ,niño,kind
half,demi,一半,yī bàn,mitad,halb
yours,les vôtres,你的,nǐ de,tuyo,dein
moment,moment,片刻,piàn kè,momento,moment
sleep,dormir,睡觉,shuì jué,dormir,schlaf
young,jeune,年轻,nián qīng,joven,jung
men,hommes,男人,nán rén,hombres,männer
sonny,fiston,桑尼,sāng ní,hijo,sonny
lucky,chanceux,幸运的,xìng yùn de,afortunado,glücklich
pick,prendre,挑选,tiāo xuǎn,elegir,wählen
sometimes,parfois,有时,yǒu shí,algunas veces,manchmal
them,eux,他们,tā men,ellos,sie
bed,lit,床,chuáng,cama,bett
also,aussi,还,huán,además,auch
date,date,日期,rì qí,fecha,datum
line,ligne,线,xiàn,línea,leitung
lose,perdre,失去,shī qù,perder,ns
fire,feu,火,huǒ,fuego,feuer
free,libre,自由,zì yóu,gratis,kostenlos
hand,main,手,shǒu,mano,hand
serious,sérieuse,严肃的,yán sù de,grave,ernst
shit,merde,拉屎,lā shǐ,mierda,scheisse
behind,derrière,在后面,zài hòu miàn,detrás,hinter
inside,à l'intérieur,里面,lǐ miàn,dentro,innerhalb
high,haute,高的,gāo de,elevado,hoch
ahead,devant,先,xiān,adelante,voaus
wonderful,formidable,精彩的,jīng cǎi de,maravilloso,wunderbar
fight,lutte,斗争,dǒu zhēng,pelear,kampf
past,passé,过去的,guo qù de,pasado,vergangenheit
cut,couper,切,qiē,corte,schneiden
quite,assez,相当,xiāng dāng,bastante,ganz
number,numéro,数字,shù zì,número,nummer
sick,malade,生病的,shēng bìng de,enfermo,krank
game,jeu,游戏,yóu xì,juego,spiel
eat,manger,吃,chī,come,essen
nobody,personne,没有人,méi yǒu rén,nadie,niemand
death,décès,死亡,sǐ wáng,muerte,tod
along,le long de,沿着,yán zháo,a lo largo de,eine lange
finally,finalement,最后,zuì hòu,finalmente,endlich
upset,bouleversé,沮丧的,jū sāng de,disgustado,verärgern
seem,sembler,似乎,sì hū,parecer,erscheinen
safe,en sécurité,安全的,ān quán de,a salvo,sicher
children,enfants,孩子们,hái zǐ men,niños,kinder
front,de face,正面,zhèng miàn,parte delantera,vorderseite
shot,tirer,射击,shè jí,disparo,schuss
love,amour,爱,ài,amor,liebe
clear,dégager,清除,qīng chú,claro,klar
hot,chaud,热的,rè de,caliente,heiße
six,six,六,liù,seis,sechs
drink,boire,喝,hē,bebida,getränk
absolutely,tout à fait,绝对地,jué duì dì,absolutamente,absolut
how,comment,如何,rú hé,cómo,wie
sweet,doux,甜的,tián de,dulce,süss
alive,vivant,活,huó,viva,lebendig
sense,sens,感觉,gǎn jué,sentido,sinn
happen,arriver,发生,fā shēng,ocurrir,passieren
special,spécial,特别的,tè bié de,especial,besondere
bet,pari,赌注,dǔ zhù,apuesta,wette
blood,du sang,血液,xiě yè,sangre,blut
lie,mentir,说谎,shuō huǎng,mentir,lüge
full,complet,满的,mǎn de,lleno,voll
meeting,rencontre,会议,huì yì,cita,treffen
dear,chère,亲,qīn,querido,lieb
coffee,café,咖啡,kā pēi,café,kaffee
sound,sonner,声音,shēng yīn,sonido,klang
fault,la faute,过错,guo cuo,culpa,fehler
water,l'eau,水,shuǐ,agua,wasser
ten,dix,十,shí,diez,zehn
women,femmes,女性,nǚ xìng,mujeres,frauen
welcome,bienvenue,欢迎,huān yíng,bienvenido,willkommen
buy,acheter,买,mǎi,comprar,kaufen
hour,heure,小时,xiǎo shí,hora,stunde
speak,parlez,说话,shuō huà,hablar,sprechen
think,pense,思考,sī kǎo,pensar,denken
christmas,noël,圣诞节,shèng dàn jié,navidad,weihnachten
body,corps,身体,shēn tǐ,cuerpo,karosserie
order,ordre,命令,mìng lìng,pedido,auftrag
outside,à l'extérieur,外部,wài bù,fuera de,außen
hang,pendre,悬挂,xuán guà,colgar,aufhängen
worse,pire,更差,gèng chāi,peor,schlechter
company,entreprise,公司,gōng sī,empresa,gesellschaft
mistake,erreur,错误,cuo wù,error,fehler
handle,manipuler,处理,chù lǐ,resolver,handhaben
spend,dépenser,花费,huā fèi,gastar,verbringen
totally,totalement,完全,wán quán,totalmente,total
control,contrôler,控制,kòng zhì,control,steuerung
marriage,mariage,婚姻,hūn yīn,matrimonio,hochzeit
power,puissance,力量,lì liàng,poder,energie
president,président,总统,zǒng tǒng,presidente,präsident
unless,sauf si,除非,chú fēi,a no ser que,wenn nicht
sex,sexe,性别,xìng bié,sexo,sex
send,envoyer,发送,fā sòng,enviar,senden
picture,photo,图片,tú piàn,fotografía,bild
hundred,cent,百,bǎi,centenar,hundert
change,monnaie,改变,gǎi biàn,cambio,veränderung
explain,explique,解释,jiě shì,explicar,erklären
certainly,certainement,当然,dāng rán,ciertamente,bestimmt
sign,signe,标志,biāo zhì,firmar,unterschrift
boy,garçon,男孩,nán hái,chico,junge
relationship,relation amoureuse,关系,guān xì,relación,beziehung
hair,cheveu,头发,tóu fā,cabello,haar
choice,choix,选择,xuǎn zé,elección,auswahl
anywhere,partout,任何地方,rèn hé dì fāng,en cualquier sitio,irgendwo
secret,secret,秘密,mì mì,secreto,geheimnis
future,futur,未来,wèi lái,futuro,zukunft
weird,bizarre,奇怪的,qí guài de,extraño,seltsam
luck,chance,运气,yùn qì,suerte,glück
touch,toucher,触碰,hóng pèng,tocar,berühren
kiss,embrasser,吻,wěn,beso,kuss
crane,grue,起重机,qǐ zhòng jī,grua,kran
question,question,题,tí,pregunta,frage
obviously,évidemment,明显地,míng xiǎn dì,obviamente,offensichtlich
pain,la douleur,疼痛,téng tòng,dolor,schmerzen
straight,droit,直的,zhí de,derecho,gerade
grace,la grâce,优雅,yōu yǎ,gracia,anmut
white,blanche,白色的,bái sè de,blanco,weiß
fast,vite,快速地,kuài sù dì,rápido,schnell
word,mot,单词,dān cí,palabra,wort
food,nourriture,食物,shí wù,comida,lebensmittel
none,rien,没有任何,méi yǒu rèn hé,ninguno,keiner
drive,conduire,驾驶,jià shǐ,conducir,fahrt
work,travail,工作,gōng zuo,trabaja,arbeit
marry,marier,结婚,jié hūn,casar,heiraten
light,léger,光,guāng,luz,hell
test,test,测试,cè shì,prueba,prüfung
drop,tomber,降低,jiàng dī,soltar,tropfen
frank,franc,坦率,tǎn lǜ,franco,frank
sent,envoyé,发送,fā sòng,enviado,gesendet
city,ville,城市,chéng shì,ciudad,stadt
dream,rêver,梦,mèng,sueño,traum
protect,protéger,保护,bǎo hù,proteger,beschützen
twenty,vingt,二十,èr shí,20,zwanzig
class,classer,班级,bān jí,clase,klasse
surprise,surprendre,惊喜,liáng xǐ,sorpresa,überraschung
forever,pour toujours,永远,yǒng yuǎn,para siempre,bis in alle ewigkeit
poor,pauvres,贫穷的,pín qióng de,pobre,arm
mad,fou,疯狂的,fēng kuáng de,enojado,verrückt
except,sauf,除了,chú le,excepto,außer
gun,arme à feu,枪,qiāng,pistola,pistole
know,savoir,知道,zhī dào,saber,kennt
dance,danse,舞蹈,wǔ dào,danza,tanzen
take,prendre,拿,ná,llevar,nehmen
especially,surtout,尤其,yóu qí,especialmente,besonders
situation,situation,情况,qíng kuàng,situación,situation
besides,outre,除了,chú le,además,außerdem
week,la semaine,星期,xīng qí,semana,woche
himself,lui-même,他自己,tā zì jǐ,él mismo,selbst
act,acte,行为,xíng wèi,actuar,gesetz
worth,valeur,值得,zhí dé,valer,wert
top,haut,最佳,zuì jia,cima,oben
expect,attendre,预计,yù jì,suponer,erwarten
rather,plutôt,相当,xiāng dāng,bastante,eher
involve,impliquer,涉及,shè jí,involucrar,einbeziehen
swear,jurer,发誓,fā shì,jurar,schwören
piece,pièce,片,piàn,pieza,stück
busy,occupé,忙碌的,máng lù de,ocupado,belebt
law,loi,法律,fǎ lǜ,ley,gesetz
black,le noir,黑色的,hēi sè de,negro,schwarz
movie,film,电影,diàn yǐng,película,film
catch,attraper,抓住,zhuā zhù,captura,fangen
country,pays,国家,guó jiā,país,land
less,moins,较少的,jiào shǎo de,menos,weniger
perhaps,peut-être,也许,yě xǔ,quizás,womöglich
step,étape,步,bù,paso,schritt
fall,tomber,落下,luo xià,otoño,herbst
dog,chien,狗,gǒu,perro,hund
win,gagner,赢,yíng,ganar,gewinnen
personal,personnel,个人的,gè rén de,personal,persönlich
admit,admettre,承认,chéng rèn,admitir,zugeben
problem,problème,问题,wèn tí,problema,problem
murder,meurtre,谋杀,móu shā,asesinato,mord
strong,fort,强的,qiáng de,fuerte,stark
evil,mal,邪恶,xié è,maldad,böse
feel,ressentir,感觉,gǎn jué,sentir,gefühl
honest,honnête,诚实,chéng shí,honesto,ehrlich
eye,œil,眼睛,yǎn jīng,ojo,auge
broke,fauché,打破了,dǎ po le,rompió,pleite
miss,mademoiselle,错过,cuo guo,pierda,fehlschlagen
tired,fatigué,疲劳的,pí láo de,cansado,müde
evening,soirée,晚上,wǎn shàng,noche,abend
human,humain,人类,rén lèi,humano,mensch
red,rouge,红色的,hóng sè de,rojo,rot
entire,tout,全部的,quán bù de,completo,gesamte
trip,voyage,旅行,lǚ xíng,viaje,reise
club,club,俱乐部,jù yuè bù,club,verein
suppose,supposer,认为,rèn wèi,suponer,vermuten
calm,calmer,冷静的,lěng jìng de,calma,ruhe
imagine,imaginer,想象,xiǎng xiàng,imagina,sich vorstellen
fair,équitable,公平的,gōng píng de,justa,gerecht
blame,faire des reproches,责备,zé bèi,culpar,beschuldigen
street,rue,街道,jiē dào,calle,straße
apartment,appartement,公寓,gōng yù,departamento,wohnung
court,rechercher,法庭,fǎ tíng,corte,gericht
terrible,terrible,糟糕的,zāo gāo de,terrible,abscheulich
clean,nettoyer,干净的,gān jìng de,limpio,sauber
learn,apprendre,学习,xué xí,aprender,lernen
relax,se détendre,放松,fàng sōng,relajarse,entspannen sie sich
million,million,百万,bǎi mo,millón,million
charity,charité,慈善机构,cí shàn jī gōu,caridad,wohltätigkeit
accident,accident,事故,shì gù,accidente,unfall
prove,prouver,证明,zhèng míng,probar,unter beweis stellen
smart,intelligent,聪明的,cōng míng de,inteligente,clever
message,un message,信息,xìn xī,mensaje,botschaft
small,petit,小的,xiǎo de,pequeña,klein
interest,l'intérêt,兴趣,xīng qù,interesar,interesse
table,table,桌子,zhuō zǐ,mesa,tisch
become,devenir,变得,biàn dé,volverse,werden
mouth,bouche,嘴,zuǐ,boca,mund
pregnant,enceinte,孕,yùn,embarazada,schwanger
middle,milieu,中间,zhōng jiān,medio,mitte
ring,anneau,戒指,jiè zhǐ,anillo,ring
careful,prudent,小心,xiǎo xīn,cuidado,vorsichtig
shall,doit,将,jiāng,deberá,soll
team,équipe,团队,tuán duì,equipo,mannschaft
ride,balade,骑,qí,paseo,fahrt
figure,chiffre,数字,shù zì,figura,abbildung
wear,porter,穿,chuān,vestir,tragen
shoot,tirer,射击,shè jí,disparo,schießen
stick,coller,戳,chuō,palo,stock
ray,rayon,射线,shè xiàn,rayo,strahl
follow,suivre,跟随,gēn suí,seguir,folgen
angry,en colère,生气的,shēng qì de,enfadado,verärgert
instead,au lieu,反而,fǎn ér,en lugar de,stattdessen
buddy,copain,伙伴,huǒ bàn,compañero,kumpel
write,écrivez,写,xiě,escribir,schreiben
early,de bonne heure,早期的,zǎo qí de,temprano,früh
angel,ange,天使,tiān shǐ,ángel,gesichtspunkt
nick,pseudo,缺口,quē kǒu,mella,nick
ran,couru,跑了,pǎo le,corrió,rannte
war,guerre,战争,zhàn zhēng,guerra,krieg
forgive,pardonner,原谅,yuán liàng,perdonar,verzeihen
jail,prison,监狱,jiān yù,celda,gefängnis
lunch,déjeuner,午餐,wǔ cān,comida,mittagessen
eight,huit,八,bā,ocho,acht
thousand,mille,千,qiān,mil,tausend
music,musique,音乐,yīn yuè,música,musik
tough,dure,艰难的,jiān nán de,difícil,hart
tape,ruban,胶带,xiáo dài,cinta,band
count,compter,数数,shù shù,contar,zählen
college,université,大学,dà xué,universidad,uni
boyfriend,petit ami,男朋友,nán péng yǒu,novio,freund
proud,fier,自豪的,zì háo de,orgulloso,stolz
agree,se mettre d'accord,同意,tóng yì,de acuerdo,zustimmen
birthday,date d'anniversaire,生日,shēng rì,cumpleaños,geburtstag
bill,facture,账单,zhàng dān,factura,rechnung
seven,sept,七,qī,siete,sieben
history,l'histoire,历史,lì shǐ,historia,geschichte
share,partager,分享,fēn xiǎng,cuota,teilen
offer,offre,提供,tí gōng,oferta,angebot
hurry,se presser,匆忙,cōng máng,apurarse,eile
feet,pieds,脚,jiǎo,pies,füße
wonder,merveille,想知道,xiǎng zhī dào,preguntarse,wunder
simple,facile,简单的,jiǎn dān de,sencillo,einfach
decision,décision,决定,jué dìng,decisión,entscheidung
building,imeuble,建筑,jiàn zhú,edificio,gebäude
finish,terminer,结束,jié shù,terminar,beenden
voice,voix,语音,yǔ yīn,voz,stimme
